timestamp,ip_address,method,endpoint,status_code,response_time_ms,user_agent
2024-01-08T18:12:59,10.0.0.51,POST,/api/models/deploy,500,7317,PostmanRuntime/7.32.3
2024-01-28T07:30:44,172.16.0.13,PUT,/api/data/upload,401,1876,Go-http-client/2.0
2024-01-01T11:36:29,172.16.0.12,GET,/api/data/upload,301,1903,HTTPie/3.2.1
2024-01-24T12:33:44,198.51.100.7,GET,/api/evaluate,403,192,HTTPie/3.2.1
2024-01-13T15:40:55,10.0.0.52,GET,/health,404,3,python-requests/2.28.1
2024-01-01T01:44:30,172.16.0.13,GET,/docs,200,112,Java/11.0.19
2024-01-27T11:45:36,10.0.0.51,PUT,/api/users/me,503,4294,PostmanRuntime/7.32.3
2024-01-09T22:20:38,10.0.0.51,GET,/api/data/download,200,2782,PostmanRuntime/7.32.3
2024-01-10T17:16:48,10.0.0.52,GET,/health,301,30,Mozilla/5.0
2024-01-11T21:35:55,10.0.0.50,GET,/docs,200,63,python-requests/2.28.1
2024-01-20T08:01:57,192.0.2.100,GET,/api/predict,201,340,Mozilla/5.0
2024-01-30T21:23:12,203.0.113.5,POST,/health,201,7,curl/7.81.0
2024-01-06T12:58:46,172.16.0.11,GET,/api/train,200,21789,curl/7.88.1
2024-01-13T23:38:25,192.0.2.100,POST,/status,503,6356,python-requests/2.28.1
2024-01-30T05:01:10,198.51.100.22,POST,/docs,200,460,Java/11.0.19
2024-01-14T12:53:11,192.0.2.100,GET,/api/data/download,200,3714,Mozilla/5.0
2024-01-21T10:22:05,10.0.0.52,DELETE,/docs,201,91,python-requests/2.28.1
2024-01-31T23:22:01,192.168.1.115,GET,/status,200,27,Mozilla/5.0
2024-01-29T23:15:48,192.168.1.115,GET,/api/users/me,400,175,Mozilla/5.0
2024-01-11T04:46:42,10.0.0.50,GET,/health,200,26,Mozilla/5.0
2024-01-07T12:42:35,172.16.0.12,PUT,/api/users/me,200,224,Go-http-client/2.0
2024-01-03T19:24:20,172.16.0.13,POST,/api/models/deploy,304,57,python-requests/2.31.0
2024-01-26T12:14:35,10.0.0.50,POST,/status,502,6588,Mozilla/5.0
2024-01-25T19:22:23,10.0.0.51,GET,/api/evaluate,401,358,python-requests/2.31.0
2024-01-23T22:06:03,172.16.0.12,POST,/health,200,26,Go-http-client/2.0
2024-01-29T09:57:30,172.16.0.13,GET,/api/train,304,34414,python-requests/2.28.1
2024-01-06T20:19:33,10.0.0.50,POST,/docs,304,477,curl/7.88.1
2024-01-07T00:54:19,192.168.1.110,GET,/api/predict,404,8,Mozilla/5.0
2024-01-15T06:23:57,198.51.100.7,PUT,/api/train,201,46104,Go-http-client/2.0
2024-01-19T17:04:08,192.0.2.100,POST,/api/config,301,456,python-requests/2.28.1
2024-01-23T01:48:02,192.168.1.115,GET,/api/predict,500,3362,Go-http-client/2.0
2024-01-10T05:40:14,192.168.1.110,POST,/api/data/download,301,1198,Mozilla/5.0
2024-01-02T03:16:11,192.168.1.110,GET,/api/predict,400,49,python-requests/2.28.1
